nuts,SD,EPP,EAF,G,ALDE,NI,GUE,ECR,UEN,electorate,voters
HUZZZ,394,1671,0,0,193,510,0,210,0,3841,3312
IE0,254669,532889,0,0,440562,396499,205613,0,0,3258320,1829286
IT,8008203,12804747,0,0,2452731,0,0,0,3126922,50342153,30646628
LT001,0,7458,2863,0,11382,0,0,130,0,145983,26169
LT002,0,35428,11336,0,43116,0,0,431,0,532030,104386
LT003,0,13350,8122,0,21001,0,0,2283,0,300356,52942
LT004,0,7246,3427,0,11459,0,0,41,0,144531,26429
LT005,0,14269,5660,0,20059,0,0,111,0,230092,48525
LT006,0,10848,8260,0,23335,0,0,161,0,272347,51465
LT007,0,4556,2970,0,9015,0,0,25,0,101769,19573
LT008,0,5022,5752,0,9008,0,0,38,0,135041,25304
LT009,0,7019,3973,0,12057,0,0,431,0,141811,29087
LT00A,0,42560,14874,0,49890,0,0,42642,0,688437,166137
LU000,218532,351223,0,188637,291842,0,0,0,0,240673,198364
MT000,135917,100486,0,0,0,0,0,0,0,322411,248169
NL111,7715,9456,6590,2215,5068,0,3539,0,0,119800,36481
NL112,2428,3875,1740,745,1817,0,1020,0,0,38734,12167
NL113,20007,28620,10888,15209,25540,0,9474,0,0,292486,115886
NL121,16131,31218,10467,7194,14489,0,6832,0,0,255380,90509
NL122,4723,11135,3806,2036,5292,0,2113,0,0,80667,30501
NL123,11967,18605,7016,4106,10094,0,4412,0,0,159628,58881
NL131,11495,14017,6980,5471,13319,0,3896,0,0,145266,57873
NL132,8516,11571,7163,2564,7482,0,3133,0,0,133096,42405
NL133,5939,12304,5567,2490,7916,0,2293,0,0,100339,38089
NL211,11238,48784,11631,7117,15770,0,5773,0,0,265517,104455
NL212,6266,11301,4704,4235,9113,0,3215,0,0,113996,40888
NL213,19676,57928,23108,10155,30772,0,10825,0,0,468825,158742
NL221,18527,89280,28095,12624,36746,0,8826,0,0,490625,202321
NL224,7319,20571,12545,4434,13249,0,3442,0,0,173638,64363
NL225,15524,34052,14963,8635,24302,0,9468,0,0,309096,111934
NL226,25668,42227,26936,25716,47066,0,18179,0,0,547839,196378
NL230,10122,23115,20373,6642,20149,0,6290,0,0,272353,92487
NL310,40851,96799,55420,45298,102049,0,21990,0,0,907064,382485
NL321,11406,21467,19293,7311,22134,0,7318,0,0,280159,95081
NL322,8577,11280,11016,6974,16103,0,5096,0,0,174881,63592
NL323,7169,9739,10396,5000,12147,0,3714,0,0,145332,51630
NL324,8396,9504,10245,8568,21928,0,4796,0,0,166149,68551
NL325,6494,5523,8405,4037,8034,0,3844,0,0,119852,39231
NL326,45178,35691,57474,51903,98801,0,25023,0,0,900794,339414
NL327,8343,14724,13592,7231,26556,0,4760,0,0,183671,80235
NL331,11925,28008,18285,12182,33754,0,6513,0,0,283240,117620
NL332,24539,49887,43647,21535,65807,0,12845,0,0,576184,233754
NL333,5840,17989,11473,5351,15725,0,3225,0,0,159594,62961
NL334,8922,31175,16115,6645,20145,0,5233,0,0,227783,92767
NL335,42740,80098,78271,23716,72399,0,24762,0,0,1022244,342838
NL336,12756,46308,20530,6405,20776,0,6744,0,0,313258,119099
NL341,3062,8303,5704,1385,4995,0,1804,0,0,81238,26646
NL342,8114,32284,11760,4962,13723,0,4520,0,0,208932,79782
